FPM:   Word:                  Gender:
3.2    sonore                 f -> m 
3.2    kappa                  f -> m 
3.2    pépé                   f -> m 
3.2    karaoké                f -> m 
3.2    plate-forme            m -> f 
3.2    vinaigre               f -> m 
3.2    bagage                 f -> m 
3.2    strike                 f -> m 
3.1    réflexe                f -> m 
3.1    notaire                f -> m 
3.1    bêta                   f -> m 
3.1    sabotage               f -> m 
3.1    rame                   m -> f 
3.1    ongle                  f -> m 
3.1    moule                  f -> m 
3.1    rabat-joie             f -> m 
3.1    blindé                 f -> m 
3.1    prodige                f -> m 
3.1    cache-cache            f -> m 
3      challenge              f -> m 
3      gomme                  m -> f 
3      écarté                 f -> m 
3      salé                   f -> m 
3      yakuza                 f -> m 
3      vocabulaire            f -> m 
3      proverbe               f -> m 
3      rivage                 f -> m 
3      crisse                 f -> m 
3      dentifrice             f -> m 
3      branle                 f -> m 
2.9    déco                   m -> f 
2.9    bide                   f -> m 
2.9    crocodile              f -> m 
2.9    plateforme             m -> f 
2.9    sauna                  f -> m 
2.9    coyote                 f -> m 
2.9    gouffre                f -> m 
2.8    télescope              f -> m 
2.8    dé                     f -> m 
2.8    panda                  f -> m 
2.8    oculaire               f -> m 
2.8    étalage                f -> m 
2.8    molle                  f -> m 
2.8    pilotage               f -> m 
2.8    lobe                   f -> m 
2.7    sofa                   f -> m 
2.7    manipule               f -> m 
2.7    dictionnaire           f -> m 
2.7    eagle                  f -> m 
2.7    cake                   f -> m 
2.7    rite                   f -> m 
2.7    hydrogène              f -> m 
2.7    litre                  f -> m 
2.7    messie                 f -> m 
2.7    cygne                  f -> m 
2.7    skate                  f -> m 
2.7    couvercle              f -> m 
2.7    sondage                f -> m 
2.7    tirage                 f -> m 
2.7    trame                  m -> f 
2.7    blocage                f -> m 
2.6    paragraphe             f -> m 
2.6    trempe                 f -> m 
2.6    abbé                   f -> m 
2.6    purge                  f -> m 
2.6    décalage               f -> m 
2.6    plie                   f -> m 
2.6    rez-de-chaussée        f -> m 
2.6    présage                f -> m 
2.6    carrosse               f -> m 
2.6    piratage               f -> m 
2.6    timbre                 f -> m 
2.6    élevage                f -> m 
2.6    paume                  m -> f 
2.6    réforme                m -> f 
2.6    havane                 f -> m 
2.6    cyanure                f -> m 
2.6    fade                   f -> m 
2.5    ada                    f -> m 
2.5    bronzage               f -> m 
2.5    ouvrage                f -> m 
2.5    charabia               f -> m 
2.5    bavardage              f -> m 
2.5    délégué                f -> m 
2.5    camouflage             f -> m 
2.5    oracle                 f -> m 
2.5    alexandra              f -> m 
2.5    mercenaire             f -> m 
2.5    élastique              f -> m 
